observation,string,abstract,node,accuracy
1,M9R0V0_CCC,A16,T3,0.8
2,M9R0V0_CCC,A16,T3,0.4
3,M9R0V0_CCC,A16,T3,0.6
4,M9R0V0_CCC,A16,T3,NA
5,M9R0V0_CCC,A16,T3,0.6
6,M9R0V0_CCC,A16,T3,1
7,M9R0V0_CCC,A16,T3,0.6
8,M9R0V0_CCC,A16,T3,0.5
9,M9R0V0_CCC,A16,T3,0.6
10,M9R0V0_CCC,A16,T3,1
11,M9R0V0_CCC,A16,T3,0.8
12,M9R0V0_CCC,A16,T3,1
13,M9R0V0_CCC,A16,T3,1
14,M9R0V0_CCC,A16,T3,0.6
15,M9R0V0_CCC,A16,T3,0.8
16,M9R0V0_CCC,A16,T3,0.6
17,M9R0V0_CCC,A16,T3,1
18,M9R0V0_CCC,A16,T3,0.4
19,M9R0V0_CCC,A16,T3,0.4
20,M9R0V0_CCC,A16,T3,0.8
21,M9R0V0_CCC,A16,T3,1
22,M9R0V0_CCC,A16,T3,0.8
23,M9R0V0_CCC,A16,T3,0.6
24,M9R0V0_CCC,A16,T3,0.8
25,M9R0V0_CCC,A16,T3,0.6
26,M9R0V0_CCC,A16,T3,NA
27,M9R0V0_CCC,A16,T3,1
28,M9R0V0_CCC,A16,T3,0.75
29,M9R0V0_CCC,A16,T3,1
30,M9R0V0_CCC,A16,T3,1
1,M9R0V1_LIT,A16,T1,1
2,M9R0V1_LIT,A16,T1,0.6
3,M9R0V1_LIT,A16,T1,NA
4,M9R0V1_LIT,A16,T1,1
5,M9R0V1_LIT,A16,T1,0.6
6,M9R0V1_LIT,A16,T1,0.6
7,M9R0V1_LIT,A16,T1,0.6
8,M9R0V1_LIT,A16,T1,1
9,M9R0V1_LIT,A16,T1,1
10,M9R0V1_LIT,A16,T1,1
11,M9R0V1_LIT,A16,T1,1
12,M9R0V1_LIT,A16,T1,1
13,M9R0V1_LIT,A16,T1,0.8
14,M9R0V1_LIT,A16,T1,1
15,M9R0V1_LIT,A16,T1,0.25
16,M9R0V1_LIT,A16,T1,1
17,M9R0V1_LIT,A16,T1,0.6
18,M9R0V1_LIT,A16,T1,0.4
19,M9R0V1_LIT,A16,T1,1
