'^(def|class)\\s+'	167,468,640,659,703,1322
'(-?(?:0|[1-9]\\d*))(\\.\\d+)?([eE][-+]?\\d+)?'	55,113,233,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'(^|.*:)\\s*\\w*("|\')'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
"\n        # Grab the traceback header.  Different versions of Python have\n        # said different things on the first traceback line.\n        ^(?P<hdr> Traceback\\ \\(\n            (?: most\\ recent\\ call\\ last\n            |   innermost\\ last\n            ) \\) :\n        )\n        \\s* $                # toss trailing whitespace on the header.\n        (?P<stack> .*?)      # don't blink: absorb stuff until...\n        ^ (?P<msg> \\w+ .*)   #     a line *starts* with alphanum.\n        "	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'&(#\\d+|#x[0-9a-fA-F]+|\\w+);'	22,38,55,65,72,94,126,225,273,340,472,527,683,691,707,790,1122,1150,1169,1199,1269,1300,1469,1498,1557
'&(#?[xX]?(?:[0-9a-fA-F]+|\\w{1,8}));'	31,287,302,323,355,381,422,476,602,732,849,866,878,1004,1012,1054,1086,1087,1158,1184,1495,1509,1517,1580,1634
'^(?:\\s*(?:,\\s*)?([^ \\t\\r\\n=]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\\\\\"]|\\\\.)*?(?=\\")|(?<!\\")[^ \\t\\r\\n,]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'^(?:\\s*(?:,\\s*)?([^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\0-\\x08\\x0A-\\x1f\\x7f-\\xff\\\\\\"]|\\\\[\\0-\\x7f])*?(?=\\")|(?<!\\")[^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
u'^(?:!|&|\\*)$'	12,42,82,89,139,140,148,287,580,602,729,1004,1074,1075,1210,1235,1248,1328,1444,1495,1509
"(^|\\W)`(.*?)'(\\W|$)"	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1493,1511
'\\s*(\\w*|\\w(\\w|\\.)*\\w)\\s*::'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1493,1511
