UniqueID,HIT_ID,String,String1,String2,nCorrect_over_nAnswered
0,0,([:;])’,([:;]),([:;]),1
1,0,fa[lmnop][lmnop][lmnop]’,fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
2,0,(deedo(do)?)’,(deedo(do)?),(deedo(do)?),0.8
3,0,&([A-Za-z0-9_]+);’,&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
4,0,[a-f](\d+)[a-f]’,[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.8
5,0,t[\072-\073]+p’,t[\072-\073]+p,t[\072-\073]+p,1
6,0,RR*’,RR*,RR*,1
7,0,[^0-9A-Za-z]’,[^0-9A-Za-z],[^0-9A-Za-z],0.4
8,0,\{\$(\d+\.\d)\}’,\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},0.8
9,0,no(w|x|y|z)5’,no(w|x|y|z)5,no(w|x|y|z)5,1
10,1,[^0-9]’,[^0-9],[^0-9],0.6
11,1,(deedo(do)?)’,(deedo(do)?),(deedo(do)?),0.6
12,1,xyz[\0133-\0140]’,xyz[\0133-\0140],xyz[\0133-\0140],0.6
13,1,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.4
14,1,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.5
15,1,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],0.5
16,1,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.5
17,1,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),0.8
18,1,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],0.6
19,1,zaa*',zaa*,zaa*,0.6
20,2,RR*',RR*,RR*,1
21,2,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
22,2,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.8
23,2,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
24,2,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],0.6
25,2,(:|;)',(:|;),(:|;),1
26,2,[^0-9]',[^0-9],[^0-9],0
27,2,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
28,2,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
29,2,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
30,3,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
31,3,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.8
32,3,(:|;)',(:|;),(:|;),1
