'[$][{]\\d+:([^}]+)[}]'	1025,1322
'[^]]+?\\] +([0-9.]+): (\\w+) <-(\\w+)'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1040,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1400,1440,1467,1514,1556,1562,1568,1581,1599,1610,1622,1624,1626,1627,1643
'^[ ]*(#.*)?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*)  # PS2 lines\n        \\n?\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^[ ]*(?=\n)'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'[-]'	302,323,355,422,560,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'(?P<pad>[=]*)$'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\[(?P<header>[^]]+)\\]'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'\\[([^]]+)\\]'	306,322,464,467,505,534,782,1300,1404,1466
'/[*] #undef ([A-Z][A-Za-z0-9_]+) [*]/\n'	12,287,602,1054,1087,1263,1290,1509,1580,1594
'(^|\\n)[ ]{0,3}>[ ]?(.*)'	236,247,552,606,919,1007,1223,1420
'[^]~%\\\\{}]+'	12,412,759,852,961,1221,1511
'([(\\[{])|([)}\\])])'	1025,1082,1322,1326,1482,1504,1505
'^[ ]{0,3}[*+-][ ](.*)'	247,552,606,919,1007,1223,1420
'^[ ]{0,3}\\d+\\.[ ](.*)'	247,552,606,919,1007,1223,1420
'^[a-zA-Z_][a-zA-Z0-9_]*[(]'	322,467,505,534,712,1216,1466
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ].*'	247,552,606,919,1007,1223,1420
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ](.*)'	247,552,606,919,1007,1223,1420
'[\\\\]([a-zA-Z]+[*]?) ?({|\\s*\\n?)'	12,412,759,852,961,1221,1511
'  \\\\item (.*) [(](.*)[)]((?:(?:, \\d+)|(?:, \\\\[a-z]*\\{\\d+\\}))+)'	12,412,759,852,961,1221,1511
'[:]'	171,241,1249,1317,1381,1501
'^[ ]{4,}(?P<value>.*)'	236,247,919,1007,1340,1395
'/[*] #undef ([A-Z][A-Z0-9_]+) [*]/\n'	412,759,852,961,1221,1511
'([ ]+_)|(_[ ]+)|([ ]+)'	236,247,919,1007,1395
'[*]\\[(?P<abbr>[^\\]]*)\\][ ]?:\\s*(?P<title>.*)'	236,247,919,1007,1395
'^[ ]{0,3}(?P<key>[A-Za-z0-9_-]+):\\s*(?P<value>.*)'	236,247,919,1007,1395
'\n          # Match tail of: [text][id]\n          [ ]?          # one optional space\n          (?:\\n[ ]*)?   # one optional newline followed by spaces\n          \\[\n            (?P<id>.*?)\n          \\]\n        '	552,606,1223,1247,1420
'[ ]+'	126,538,1247,1288
'[.]{2,}'	1263,1290,1580,1594
'(\\D)[.]'	851,1269,1498,1561
'[.](\\D)'	851,1269,1498,1561
'^[.](\\d)'	1263,1290,1580,1594
'\\[[^]]*\\]'	190,624,729,1486
'(\\D)[.](\\D)'	851,1269,1498,1561
'([!{}:;>+\\(\\[,])\\s+'	568,807,1144,1247
'^([a-zA-Z0-9]+)([-](.*))?$'	287,580,602,1509
'/{0,2}[^]\\0\\t\\r\\v\\n ()<>{}/%[]+'	642,776,971,1203
'(^|\\n)[ ]{0,3}:[ ]{1,3}(.*?)(\\n|$)'	236,247,919,1007
'(?P<fence>^~{3,})[ ]*(\\{?\\.(?P<lang>[a-zA-Z0-9_-]*)\\}?)?[ ]*\\n(?P<code>.*?)(?P=fence)[ ]*$'	236,247,919,1007
u'\\b((?:([\\w-]+):(/{1,3})|www[.])(?:(?:(?:[^\\s&()]|&amp;|&quot;)*(?:[^!"#$%&\'()*+,.:;<=>?@\\[\\]^`{|}~\\s]))|(?:\\((?:[^\\s&()]|&amp;|&quot;)*\\)))+)'	552,606,800,1469
'[ ]+\t'	61,166,410
'^([ ]*)'	819,1317,1501
'([ ]+)\t'	61,166,410
'\\[[^]]+]$'	1269,1469,1498
'^([^<]+)[<]?(.*)[>]?$'	241,874,1249
'.*(\\.ipy|\\.py[w]?)$'	422,747,1517
'^RADIO/radio[.](.+[.])?img$'	968,1016,1116
'^([^.]+)[.]([^.]+)[.]?([^.]*)'	241,874,1249
'<toolset.*version>(\\d+)[.](\\d*)'	241,874,1249
'\\s?((["][^"]*["]|[\'][^\']*[\'])\\s+dluohs)'	1025,1215,1423
'[@]'	241,1249
'[/]+'	447,877
'\n[ ]+\n'	1248,1488
',[ ]*([-]?\\d+|n)'	1317,1501
'(<!DOCTYPE[^]]*]>)'	210,253
'(.*) ([(][^()]*[)])'	251,1087
'^\\[([^]]+)\\](.*)$'	296,819
'.+[.](?<!log[.])zip'	241,1249
'^[-+]?([0][0-7,]*)$'	171,1381
'([^[]+)\\[([^]]+)\\]'	171,1381
'[^%]+%[^.]+[.](compile)'	241,1249
'[/*?]|\\[[^]]*/[^]]*\\]'	737,1315
'.*[/\\\\]bin[.]v2[/\\\\]'	241,1249
u'^[JB]?[0-9]+([.][0-9]*)?$'	332,689
'[^%]+%[^.]+[.](link|archive)'	241,1249
'range\\([ ]*([-]?\\d+|n).*\\)'	1317,1501
u'^([0-9]+x)*[0-9]*[*]?(s\\W)?$'	332,689
'[^%]+%testing[.](capture-output)'	241,1249
'(?mi)^[ ]*\\:RequireModule:(.*)$'	757,1087
'(^[ ]*[+]?[\\(\\)0-9/\\/\\.\\- ]+$)'	717,1229
'[^%]+%testing[.](expect-failure|expect-success)'	241,1249
'^([-]+BEGIN CERTIFICATE[-]+[\\r]*\\n.*[\\r]*^[-]+END CERTIFICATE[-]+)$'	1087,1580
'[ ]*(?P<arg>.*?=(?:(?:[^"\']*?)|(?:"[^"]*")|(?:\'[^\']*\')))[ ]*[,\r\n]'	1232,1233
'\\b(([\\w-]+://?|www[.])[^\\s()<>]+(?:\\([\\w\\d]+\\)|([^[:punct:]\\s]|/)))'	274,573
'^((http[s]?):\\/)#?\\/?([^:\\/\\s]+)((\\/[\\w\\-\\.]+)*\\/)*([\\w\\-\\.]+[^#?\\s]+)'	1028,1039
'(?P<fence>^~{3,})[ ]*\\n(?P<code>.*?)(?P=fence)[ ]*(\\{\\.(?P<lang>[a-zA-Z0-9_-]*)\\})?[ ]*$'	236,1395
'\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)[$]?(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*))?'	666,707
'\n    (\\n)?                            # leading line = $1\n    (^[ \\t]*)                        # leading whitespace = $2\n    ([*+-]|\\d+[.]) [ \\t]+            # list marker = $3\n    ((?:.+?)                         # list item text = $4\n    (\\n{1,2}))\n    (?= \\n* (\\Z | \\2 ([*+-]|\\d+[.]) [ \\t]+))\n    '	55,200
' (                       # wrap whole match in $1\n                  !\\[\n                    (.*?)               # alt text = $2\n                  \\]\n\n                  [ ]?                  # one optional space\n                  (?:\\n[ ]*)?           # one optional newline followed by spaces\n\n                  \\[\n                    (.*?)               # id = $3\n                  \\]\n\n                )\n    '	55,200
' (                 # wrap whole match in $1\n                  \\[\n                    (.*?)        # link text = $2 \n                    # [for bracket nesting, see below]\n                  \\]\n\n                  [ ]?           # one optional space\n                  (?:\\n[ ]*)?    # one optional newline followed by spaces\n\n                  \\[\n                    (.*?)        # id = $3\n                  \\]\n                )\n    '	55,200
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*   # PS2 lines\n          \\n?)\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	757,1087
'["]'	445
'[#]'	74
u'[;]'	733
'^[ ]*'	1050
"(['])"	780
'([)]+)'	1267
'([(]+)'	1267
'  [ ]*'	1495
'[ ]+\n'	1247
'99[.]99'	313
'[$][^$]'	592
'^[*]...'	313
'/[.]svn'	805
'(/)?[*]$'	1381
'[$]{.+?}'	119
'^[.]{1}.*'	84
'([*]|[:])'	356
'^[_]+[ -]+'	1566
'^[0-9]+[*]'	560
'^([.]*).*$'	1469
' |,|"|=|[|]'	1618
'^[@]+|[@]+$'	1580
'take\\s*[(]'	356
'[(](.*?)[)]'	1461
'([.\\w]+)[.]'	1621
'([$]{[^}]*})'	313
'[,]?([^,=]+)='	1068
'(?=^[.]{1}.*)'	84
u'[-,^]([.]|$)'	733
'[-][-]link[-]'	356
'extdemo[.]pyd'	313
'^(.+)[&](.+)$'	560
'[\\d.]+[ ]*\n'	1101
'^(.+)[|](.+)$'	560
'(\\[[^]]*\\])'	1328
'^\\[[^][]+\\]$'	1569
'[*][*]([0-9]*)'	356
'/[.]svn|.*26.*'	805
'[#][\\dA-F]{8}'	1025
'[#][\\dA-F]{6}'	1025
'[#][\\dA-F]{3}'	1025
'^[ ]{0,3}[^ :]'	236
'^[+]{0,1}\\d*$'	1607
'\\sinet[6]?\\s'	548
'[*]|--|[^+*-]+'	1248
'^["]([^"]+)["]$'	502
'[ ]*%\\(.*?\\)s'	356
'\\w+([.]\\w+)*$'	1214
'[-][-](verbose)'	356
'\x1b\\[[0]{0,1}m'	498
'[-][-]compiler[=]'	356
'/?\\w+/\\w+[.]xsd'	436
'max[(](.+),(.+)[)]'	356
'int\\s*[(][^)]*[)]'	356
'min[(](.+),(.+)[)]'	356
'[ ]+(?P<t>[,;\\.])'	1247
'-py2[.][0-35-9][.]'	313
'[^(]+[(]([^)]+)[)]'	602
'/[ ]*[\\d.]+[ ]*kg'	1101
'(?<=\\n)[ ]+(?!\\s)'	1248
'[\\d]{2}[ ][\\d]{2}'	1113
'^Name:[ ]*([^\\s]*)'	122
'bool\\s*[(][^)]*[)]'	356
'[a-zA-Z][.][a-zA-Z]'	514
'-?(\\d*)([.]?\\d*)?'	1248
'^([0-9]+[.][0-9]+).*'	1621
'(.*)-[0-9_]+(.*[.]a)'	1249
'[1-9][0-9]*[.][0-9]+'	533
'([.]flat(\\s*?[[=]))'	356
'float\\s*[(][^)]*[)]'	356
'(.*(\\s+|[*]))(\\w+)$'	356
'[$]([A-Z_][A-Z0-9_]*)'	1258
'\\[([^]]*)\\]:(\\d*)$'	687
