'[aeiouy]'	866,1184
'([\\\\"]|[^\\ -~])'	55,113,147,181,233,247,251,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'(-?(?:0|[1-9]\\d*))(\\.\\d+)?([eE][-+]?\\d+)?'	55,113,233,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'[^]]+?\\] +([0-9.]+): (\\w+) <-(\\w+)'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1040,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1400,1440,1467,1514,1556,1562,1568,1581,1599,1610,1622,1624,1626,1627,1643
'<([^>]*)>: \\[0x([0-9a-f]+)-0x([0-9a-f]+)\\]'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1440,1467,1514,1556,1562,1581,1599,1610,1622,1624,1626,1627,1643
'^[ ]*(#.*)?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*)  # PS2 lines\n        \\n?\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^[ ]*(?=\n)'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'coding[:=]\\s*([-\\w.]+)'	101,147,181,251,302,323,355,422,634,757,842,849,866,878,992,1004,1012,1054,1086,1087,1104,1158,1184,1257,1263,1290,1386,1415,1427,1436,1469,1495,1517,1536,1580,1594,1621,1634
'^<\\?.*encoding=[\'"](.*?)[\'"].*\\?>'	22,38,55,60,64,65,72,94,126,220,340,472,527,683,691,707,790,881,928,1068,1122,1150,1169,1199,1269,1469,1498,1557
'(?:\\r\\n)?[ \\t]+'	220,323,355,436,510,559,728,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1416,1439,1469,1495,1498,1536,1555
'[ \\(\\)<>@,;:\\\\"/\\[\\]\\?=]'	12,82,89,287,323,355,412,422,602,759,852,866,961,1004,1054,1074,1075,1087,1184,1221,1495,1509,1511,1517,1544,1580
'[?/:|]+'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'&(#?[xX]?(?:[0-9a-fA-F]+|\\w{1,8}));'	31,287,302,323,355,381,422,476,602,732,849,866,878,1004,1012,1054,1086,1087,1158,1184,1495,1509,1517,1580,1634
'[*?[]'	12,93,287,308,322,381,412,467,505,534,602,743,759,852,961,1054,1087,1216,1221,1240,1466,1509,1511,1580
'[&<]'	12,43,190,287,330,381,412,413,510,602,759,774,852,961,1054,1076,1087,1221,1509,1511,1580,1638
'[<>]'	12,287,341,412,413,510,602,759,767,774,852,961,1054,1076,1087,1221,1248,1509,1511
'[\\\\].'	12,287,412,602,619,759,852,869,961,1054,1087,1221,1292,1415,1439,1469,1509,1511,1580
'(?:^|(?<=[\\.\\?\\!] ))([a-z])'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1184,1495,1517,1580,1634
'^(?:1-?)?(\\d{3})[-\\.]?(\\d{3})[-\\.]?(\\d{4})$'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1634
